"dataSeduta","numeroSeduta","votazione","numero","oggetto","esito","presenti","maggioranza","numeroLegale","votanti","favorevoli","contrari","astenuti","presidente"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-23",23,"Em. 1.15, Paglini e altri","respinto",226,113,143,224,68,144,12,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-22",22,"Em. 1.14, Paglini e altri","respinto",228,114,143,226,70,152,4,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-21",21,"Em. 1.13, Paglini e altri","respinto",227,112,143,223,65,146,12,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-20",20,"Em. 1.12, Paglini e altri","respinto",223,111,143,220,66,143,11,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-19",19,"Em. 1.11, Paglini e altri","respinto",221,110,143,219,68,140,11,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-18",18,"Em. 1.10, Paglini e altri","respinto",225,112,143,222,66,145,11,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-17",17,"Em. 1.90, Puglia e altri","respinto",226,113,143,224,67,147,10,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-16",16,"Em. 1.7 (prima parte), Paglini e altri","respinto",226,113,143,225,58,153,14,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-15",15,"Em. 1.6, Divina","respinto",226,112,143,223,44,167,12,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-14",14,"Em. 1.5, Paglini e altri","respinto",224,112,143,222,50,165,7,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-13",13,"Em. 1.4, Paglini e altri","respinto",227,114,143,226,65,157,4,"http://dati.senato.it/senatore/422"
