Parlamentare;Espressione;LuogoN
PALLINI Maria (M5S);Favorevole;Campania 2
PALMIERI Antonio (FI);Assente;Lombardia 2
PALMISANO Valentina (M5S);Favorevole;Puglia
PANIZZUT Massimiliano (Lega);Contrario;Friuli-Venezia Giulia
PAOLINI Luca Rodolfo (Lega);Contrario;Marche
PAPIRO Antonella (M5S);Favorevole;Sicilia 2
PARENTELA Paolo (M5S);Favorevole;Calabria
PARISSE Martina (M5S);Favorevole;Marche
PAROLO Ugo (Lega);Assente;Lombardia 2
PASTORINO Luca (LeU);Favorevole;Liguria
PATASSINI Tullio (Lega);Contrario;Marche
PATELLI Cristina (Lega);Assente;Piemonte 2
PATERNOSTER Paolo (Lega);Assente;Veneto 2
PAXIA Maria Laura (M5S);Favorevole;Sicilia 2
PEDRAZZINI Claudio (Misto);In missione;Lombardia 4
PELLA Roberto (FI);Assente;Piemonte 1
PELLICANI Nicola (PD);Favorevole;Veneto 1
PENNA Leonardo Salvatore (M5S);Favorevole;Sicilia 1
PENTANGELO Antonio (FI);Assente;Campania 1
PERANTONI Mario (M5S);Favorevole;Sardegna
PERCONTI Filippo Giuseppe (M5S);Favorevole;Sicilia 1
PEREGO DI CREMNAGO Matteo (FI);Assente;Lombardia 4
PETTARIN Guido Germano (FI);Assente;Friuli-Venezia Giulia
PETTAZZI Lino (Lega);Assente;Piemonte 2
PEZZOPANE Stefania (PD);Favorevole;Abruzzo
PIASTRA Carlo (Lega);Assente;Emilia-Romagna
PICCHI Guglielmo (Lega);Assente;Toscana
PICCOLI NARDELLI Flavia (PD);Favorevole;Lazio 1
PICCOLO Tiziana (Lega);Contrario;Trentino-Alto Adige
PIGNATONE Dedalo Cosimo Gaetano (M5S);Favorevole;Sicilia 1
PINI Giuditta (PD);Favorevole;Emilia-Romagna
PITTALIS Pietro (FI);Contrario;Sardegna
PIZZETTI Luciano (PD);Favorevole;Lombardia 4
PLANGGER Albrecht (Misto);Assente;Trentino-Alto Adige
POLIDORI Catia (FI);Assente;Umbria
POLLASTRINI Barbara (PD);Assente;Lombardia 1
POLVERINI Renata (FI);Contrario;Lazio 2
PORCHIETTO Claudia (FI);Assente;Piemonte 1
PORTAS Giacomo Antonio (IV);Assente;Piemonte 1
POTENTI Manfredi (Lega);Contrario;Toscana
PRESTIGIACOMO Stefania (FI);Assente;Sicilia 2
PRESTIPINO Patrizia (PD);Favorevole;Lazio 1
PRETTO Erik Umberto (Lega);Contrario;Veneto 2
PRISCO Emanuele (FdI);Assente;Umbria
PROVENZA Nicola (M5S);Favorevole;Campania 2
QUARTAPELLE PROCOPIO Lia (PD);Favorevole;Lombardia 1
RACCHELLA Germano (Lega);Contrario;Veneto 2
RACITI Fausto (PD);Favorevole;Sicilia 2
RADUZZI Raphael (M5S);Favorevole;Veneto 2
RAFFA Angela (M5S);Favorevole;Sicilia 2
RAFFAELLI Elena (Lega);Contrario;Emilia-Romagna
RAMPELLI Fabio (FdI);In missione;Lazio 1
RAVETTO Laura (FI);Contrario;Lombardia 2
RIBOLLA Alberto (Lega);Contrario;Lombardia 3
RICCIARDI Riccardo (M5S);Favorevole;Toscana
RIPANI Elisabetta (FI);Assente;Toscana
RIXI Edoardo (Lega);Contrario;Liguria
RIZZETTO Walter (FdI);Contrario;Friuli-Venezia Giulia
RIZZO Gianluca (M5S);In missione;Sicilia 2
RIZZO NERVO Luca (PD);Favorevole;Emilia-Romagna
RIZZONE Marco (M5S);Favorevole;Liguria
ROMANIELLO Cristian (M5S);Favorevole;Lombardia 4
ROMANO Andrea (PD);Favorevole;Toscana
ROMANO Paolo Nicolò (M5S);Favorevole;Piemonte 2
ROSATO Ettore (IV);In missione;Friuli-Venezia Giulia
ROSPI Gianluca (M5S);Favorevole;Basilicata
ROSSELLO Cristina (FI);Assente;Lombardia 1
ROSSI Andrea (PD);Favorevole;Emilia-Romagna
ROSSINI Emanuela (Misto);Favorevole;Trentino-Alto Adige
ROSSINI Roberto (M5S);Favorevole;Marche
