senatore,nome,cognome,sesso,legislatura,inizioMandato,fineMandato,tipoMandato,tipoFineMandato,dataNascita,cittaNascita,provinciaNascita,nazioneNascita
http://dati.senato.it/senatore/32624,Meinhard,Durnwalder,M,19,2022-10-13,,elettivo,,1976-12-12,Brunico,Bolzano,Italia
http://dati.senato.it/senatore/36398,Anna Maria,Fallucchi,F,19,2022-10-13,,elettivo,,1968-05-19,Foggia,Foggia,Italia
http://dati.senato.it/senatore/36397,Marta,Farolfi,F,19,2022-10-13,,elettivo,,1962-01-01,Brisighella,Ravenna,Italia
http://dati.senato.it/senatore/32628,Giovanbattista,Fazzolari,M,19,2022-10-13,,elettivo,,1972-02-24,Messina,Messina,Italia
http://dati.senato.it/senatore/4192,Claudio,Fazzone,M,19,2022-10-13,,elettivo,,1961-10-07,Fondi,Latina,Italia
http://dati.senato.it/senatore/30294,Michele,Fina,M,19,2022-10-13,,elettivo,,1978-09-30,Avezzano,L'Aquila,Italia
http://dati.senato.it/senatore/36399,Aurora,Floridia,F,19,2022-10-13,,elettivo,,1967-05-06,Verona,Verona,Italia
http://dati.senato.it/senatore/32634,Barbara,Floridia,F,19,2022-10-13,,elettivo,,1977-02-05,Messina,Messina,Italia
http://dati.senato.it/senatore/36400,Silvio,Franceschelli,M,19,2022-10-13,,elettivo,,1970-08-16,Pistoia,Pistoia,Italia
http://dati.senato.it/senatore/5799,Dario,Franceschini,M,19,2022-10-13,,elettivo,,1958-10-19,Ferrara,Ferrara,Italia
http://dati.senato.it/senatore/29406,Silvia,Fregolent,F,19,2022-10-13,,elettivo,,1972-01-25,Torino,Torino,Italia
http://dati.senato.it/senatore/31725,Annamaria,Furlan,F,19,2022-10-13,,elettivo,,1958-04-24,Genova,Genova,Italia
http://dati.senato.it/senatore/22963,Massimo,Garavaglia,M,19,2022-10-13,,elettivo,,1968-04-08,Cuggiono,Milano,Italia
http://dati.senato.it/senatore/18121,Daniela,Garnero Santanche',F,19,2022-10-13,,elettivo,,1961-04-07,Cuneo,Cuneo,Italia
http://dati.senato.it/senatore/1103,Maurizio,Gasparri,M,19,2022-10-13,,elettivo,,1956-07-18,Roma,Roma,Italia
http://dati.senato.it/senatore/36433,Matteo,Gelmetti,M,19,2022-10-13,,elettivo,,1975-06-12,VERONA,Verona,Italia
http://dati.senato.it/senatore/22966,Mariastella,Gelmini,F,19,2022-10-13,,elettivo,,1973-07-01,Leno,Brescia,Italia
http://dati.senato.it/senatore/1116,Antonino,Germana',M,19,2022-10-13,,elettivo,,1976-04-12,Messina,Messina,Italia
http://dati.senato.it/senatore/29105,Francesco,Giacobbe,M,19,2022-10-13,,elettivo,,1958-07-10,Catania,Catania,Italia
http://dati.senato.it/senatore/29425,Andrea,Giorgis,M,19,2022-10-13,,elettivo,,1965-04-12,Torino,Torino,Italia
http://dati.senato.it/senatore/1227,Antonio,Guidi,M,19,2022-10-13,,elettivo,,1945-06-13,Roma,Roma,Italia
http://dati.senato.it/senatore/32644,Barbara,Guidolin,F,19,2022-10-13,,elettivo,,1975-09-21,Bassano Del Grappa,Vicenza,Italia
http://dati.senato.it/senatore/32645,Antonio,Iannone,M,19,2022-10-13,,elettivo,,1975-09-18,Torre Del Greco,Napoli,Italia
http://dati.senato.it/senatore/36401,Nicola,Irto,M,19,2022-10-13,,elettivo,,1982-01-05,Reggio di Calabria,Reggio di Calabria,Italia
http://dati.senato.it/senatore/29447,Francesca,La Marca,F,19,2022-10-13,,elettivo,,1975-10-30,TORONTO,,Canada
