"d","cognome","nome","info","dataNascita","luogoNascita","genere","ufficio","organo","inizioUfficio","fineUfficio","collegio","aggiornamento"
"http://dati.camera.it/ocd/deputato.rdf/d305624_19","GUERINI","LORENZO","Laurea in scienze politiche; Consulente assicurativo","19661121","LODI","male","PRESIDENTE","COMITATO PARLAMENTARE PER LA SICUREZZA DELLA REPUBBLICA","20221206",,"LOMBARDIA 4 - P01",2023-03-06 12:00:53
"http://dati.camera.it/ocd/deputato.rdf/d305688_19","RIZZETTO","WALTER","Diploma di liceo classico","19750627","SAN VITO AL TAGLIAMENTO","male","PRESIDENTE","XI COMMISSIONE (LAVORO PUBBLICO E PRIVATO)","20221109",,"FRIULI-VENEZIA GIULIA - P01",2023-01-11 12:00:39
"http://dati.camera.it/ocd/deputato.rdf/d305698_19","DE MARIA","ANDREA","Diploma di liceo scientifico; Dirigente di partito","19661005","BAZZANO","male","SEGRETARIO","UFFICIO PROVVISORIO DI PRESIDENZA","20221013","20221014","EMILIA-ROMAGNA - P02",2022-11-10 12:01:56
"http://dati.camera.it/ocd/deputato.rdf/d305704_19","ASCANI","ANNA","Laurea in filosofia teoretica, morale, politica ed estetica; Dottoranda","19871017","CITTA' DI CASTELLO","female","VICEPRESIDENTE","UFFICIO DI PRESIDENZA","20221019",,"UMBRIA - P01",2023-03-06 12:00:29
"http://dati.camera.it/ocd/deputato.rdf/d305704_19","ASCANI","ANNA","Laurea in filosofia teoretica, morale, politica ed estetica; Dottoranda","19871017","CITTA' DI CASTELLO","female","PRESIDENTE","COMITATO DI VIGILANZA SULL'ATTIVITA' DI DOCUMENTAZIONE","20230223",,"UMBRIA - P01",2023-03-06 12:00:29
"http://dati.camera.it/ocd/deputato.rdf/d305708_19","RICHETTI","MATTEO","Diploma di liceo scientifico; Addetto alle pubbliche relazioni","19740803","SASSUOLO","male","CAPOGRUPPO","IV COMMISSIONE (DIFESA)","20221109",,"EMILIA-ROMAGNA - P01",2022-11-10 12:00:41
"http://dati.camera.it/ocd/deputato.rdf/d305708_19","RICHETTI","MATTEO","Diploma di liceo scientifico; Addetto alle pubbliche relazioni","19740803","SASSUOLO","male","CAPOGRUPPO","CONFERENZA DEI PRESIDENTI DI GRUPPO","20221019",,"EMILIA-ROMAGNA - P01",2022-11-10 12:00:41
"http://dati.camera.it/ocd/deputato.rdf/d305733_19","PASTORINO","LUCA","Laurea in economia aziendale; Funzionario amministrativo, Sindaco del Comune di Bogliasco","19710930","GENOVA","male","SEGRETARIO","UFFICIO PROVVISORIO DI PRESIDENZA","20221013","20221014","LIGURIA - P01",2023-03-16 12:00:46
"http://dati.camera.it/ocd/deputato.rdf/d305733_19","PASTORINO","LUCA","Laurea in economia aziendale; Funzionario amministrativo, Sindaco del Comune di Bogliasco","19710930","GENOVA","male","CAPOGRUPPO","IX COMMISSIONE (TRASPORTI, POSTE E TELECOMUNICAZIONI)","20221109",,"LIGURIA - P01",2023-03-16 12:00:46
"http://dati.camera.it/ocd/deputato.rdf/d305771_19","MANZI","IRENE","Laurea in giurisprudenza, Corsi e scritti di specializzazione e approfondimenti; Dipendente pubblico","19770816","MACERATA","female","CAPOGRUPPO","VII COMMISSIONE (CULTURA, SCIENZA E ISTRUZIONE)","20221109",,"MARCHE - P01",2022-11-26 12:00:53
"http://dati.camera.it/ocd/deputato.rdf/d305880_19","FRATOIANNI","NICOLA","Laurea in lettere e filosofia","19721004","PISA","male","CAPOGRUPPO","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)","20221109",,"TOSCANA - P03",2023-04-30 12:00:58
"http://dati.camera.it/ocd/deputato.rdf/d305931_19","AMENDOLA","VINCENZO",,"19731222","NAPOLI","male","CAPOGRUPPO","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)","20221109",,"BASILICATA - P01",2022-11-10 12:01:14
"http://dati.camera.it/ocd/deputato.rdf/d306008_19","GRIBAUDO","CHIARA","Educatrice e parlamentare","19810516","CUNEO","female","VICEPRESIDENTE","XI COMMISSIONE (LAVORO PUBBLICO E PRIVATO)","20221109",,"PIEMONTE 2 - P02",2022-11-10 12:00:46
"http://dati.camera.it/ocd/deputato.rdf/d306064_19","SOTTANELLI","GIULIO CESARE","Laurea in scienze della comunicazione e dell'amministrazione; Agente di assicurazione","19700410","ARBON","male","SEGRETARIO","GIUNTA DELLE ELEZIONI","20221116",,"ABRUZZO - P01",2023-03-25 12:00:32
"http://dati.camera.it/ocd/deputato.rdf/d306064_19","SOTTANELLI","GIULIO CESARE","Laurea in scienze della comunicazione e dell'amministrazione; Agente di assicurazione","19700410","ARBON","male","CAPOGRUPPO","GIUNTA DELLE ELEZIONI","20221118",,"ABRUZZO - P01",2023-03-25 12:00:32
"http://dati.camera.it/ocd/deputato.rdf/d306158_19","CASTIGLIONE","GIUSEPPE","Diploma di liceo classico; Giornalista","19631005","BRONTE","male","CAPOGRUPPO","XIII COMMISSIONE (AGRICOLTURA)","20221109",,"SICILIA 2 - P02",2022-11-10 12:01:52
"http://dati.camera.it/ocd/deputato.rdf/d306160_19","BOSCHI","MARIA ELENA","Laurea in giurisprudenza, Master in diritto societario; Avvocato in diritto societario","19810124","MONTEVARCHI","female","VICEPRESIDENTE","COMMISSIONE PARLAMENTARE PER L'INDIRIZZO GENERALE E LA VIGILANZA DEI SERVIZI RADIOTELEVISIVI","20230404",,"LAZIO 1 - P03",2023-04-05 12:00:35
"http://dati.camera.it/ocd/deputato.rdf/d306160_19","BOSCHI","MARIA ELENA","Laurea in giurisprudenza, Master in diritto societario; Avvocato in diritto societario","19810124","MONTEVARCHI","female","CAPOGRUPPO","VII COMMISSIONE (CULTURA, SCIENZA E ISTRUZIONE)","20221109",,"LAZIO 1 - P03",2023-04-05 12:00:35
"http://dati.camera.it/ocd/deputato.rdf/d306176_19","MAURI","MATTEO","Laurea in scienze politiche; Dirigente di partito","19700524","MILANO","male","VICEPRESIDENTE","I COMMISSIONE (AFFARI COSTITUZIONALI, DELLA PRESIDENZA DEL CONSIGLIO E INTERNI)","20221109",,"LOMBARDIA 1 - P02",2022-11-10 12:01:09
"http://dati.camera.it/ocd/deputato.rdf/d306189_19","QUARTAPELLE PROCOPIO","LIA","Dottorato di ricerca in economia; Ricercatrice","19820815","VARESE","female","VICEPRESIDENTE","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)","20221109",,"LOMBARDIA 1 - P01",2022-11-10 12:02:40
